OverallRating,ReviewHeader,ReviewBody,cleaned_review,SeatComfort
4,"""a fairly disappointing experience""","The A80 is a wonderful aircraft - quieter than any other aircraft I've flown. Flight was delayed arriving at Vancouver from London, which meant that departing flight from Vancouver was also delayed. Passengers waited almost 90 minutes at London Terminal 5 for baggage to arrive - excuse given by BA ground staff was that the baggage staff are ""very busy right now"" and our baggage will arrive ""soon."" Onboard amenities and services quite disappointing. Seat was reasonably spacious but did not offer sufficient back support. Meal sizes and portions considerably smaller than when I last flown with BA - a tiny ham and cheese croissant for breakfast. Cabin crew noticeably absent from cabin during flight - no offer of water, juice, or other beverages during the flight. Overall, a fairly disappointing experience with BA.",wonderful aircraft quieter than other aircraft flown Flight delayed arriving Vancouver from London which meant that departing flight from Vancouver also delayed Passengers waited almost minutes London Terminal baggage arrive excuse given ground staff that baggage staff very busy right baggage will arrive soon Onboard amenities services quite disappointing Seat reasonably spacious offer sufficient back support Meal sizes portions considerably smaller than when last flown with tiny cheese croissant breakfast Cabin crew noticeably absent from cabin during flight offer water juice other beverages during flight Overall fairly disappointing experience with,1
2,"""had to hand in my hand luggage""",Covid form is broken - Called customer service twice on different times and they hung up due to being too busy to pick up the phone. 1 hour flight delay - was first in the queue and had to hand in my hand luggage due to there being not enough room which was untrue as most storage compartments where empty when I entered the plane. I explained that I really cannot afford to wait on my luggage as I have 3 hours drive left after I arrive at the airport. In short: totally not customer friendly. Will try to avoid flying next time with BA.,Covid form broken Called customer service twice different times they hung being busy pick phone hour flight delay first queue hand hand luggage there being enough room which untrue most storage compartments where empty when entered plane explained that really cannot afford wait luggage have hours drive left after arrive airport short totally customer friendly Will avoid flying next time with,2
1,"""This airline is a complete disaster""","Worst airline experience ever. Flew 7 people business class. Check in was a disaster. The claimed I had “exchanged” tickets. After 1.5 hours at the ticket counter we were given boarding passes. We were group 1 but the delay caused us to board much later. The connecting flight was cancelled leading to a day long layover with 4 children including an infant. The ultimate connecting flight was also 2 hours late. Then they lost our luggage, 4 days later they still don't have our luggage. Calling the helpline for lost luggage results in a 30 minute to 1 hour hold after which you are disconnected without speaking to anyone. This airline is a complete disaster, please do not fly them. ",Worst airline experience ever Flew people business class Check disaster claimed “exchanged” tickets After hours ticket counter were given boarding passes were group delay caused board much later connecting flight cancelled leading long layover with children including infant ultimate connecting flight also hours late Then they lost luggage days later they still dont have luggage Calling helpline lost luggage results minute hour hold after which disconnected without speaking anyone This airline complete disaster please them,1
1,"""finally agreed to refund my baggage charge""","As a seasoned traveller and a loyal BA customer I am appalled at the company’s recent drop in standards. We were booked to fly from ZHR-LHR on a miles ticket in February 2022. When we arrived at check in several hours before our scheduled departure we were informed that we would have to pay for our baggage even though our ticket clearly included free checked baggage. We were held at check in for over an hour whilst the check in agent went to consult with her manager who then confirmed that we would have to pay to check in our baggage. We have no option but to pay this charge however as a result of this delay at check in arrived at the gate to find that our flight had closed. As this was the last flight of the day we were forced to find expensive overnight hotel accommodation. I tried contact BA Customer Services after this incident on numerous occasion however they didn’t bothered to respond. At the 3rd attempt, after I cc the CEO on my complaint I got a one line response saying that there was no free baggage included with our ticket. At this point I got my solicitor to write a letter and they finally agreed to refund my baggage charge. However they are refusing to compensate me for the missed flight and the considerable expenses and loss that I incurred as a result of their mistake.",seasoned traveller loyal customer appalled company’s recent drop standards were booked from ZHRLHR miles ticket February When arrived check several hours before scheduled departure were informed that would have baggage even though ticket clearly included free checked baggage were held check over hour whilst check agent went consult with manager then confirmed that would have check baggage have option this charge however result this delay check arrived gate find that flight closed this last flight were forced find expensive overnight hotel accommodation tried contact Customer Services after this incident numerous occasion however they didn’t bothered respond attempt after complaint line response saying that there free baggage included with ticket this point solicitor write letter they finally agreed refund baggage charge However they refusing compensate missed flight considerable expenses loss that incurred result their mistake,
1,"""do not recommend this airline""","Flight delays can happen, but the way BA handles such incidents in just way beyond. Our flight was delayed overnight, our connecting flight was missed, the overall delay resulted in more than 48 hours. Rechecking our bags took 4 hours standing in line. A rebooking to an earlier connection was denied, be it online or at the counter. Will certainly never fly BA again and do not recommend this airline.",Flight delays happen handles such incidents just beyond flight delayed overnight connecting flight missed overall delay resulted more than hours Rechecking bags took hours standing line rebooking earlier connection denied online counter Will certainly never again recommend this airline,4
1,"""I will never use them again""","Check in easy at BGI due to us checking flightradar24 and finding the flight was delayed by nearly 2 hours, no notification from the airlines so other passengers arrived earlier. Easy boarding in sequence numbers. Seat is a joke for 8 hour flight, no leg room on isle seat of 4, the seat in front frame blocks you stretching your legs and once the passenger in front reclines its even worse. Food is mediocre with poor choice and all of the drink choices had run out before the stewardess had arrived to my seat (only choice Coca-Cola, water or red wine. The connecting flight from LHR - MAN was cancelled with no contact from the airline, I only found out trying to book a seat on the return legs, with no alternative flight provided. We had to privately book a taxi from LHR to Manchester for 4 persons as this worked out cheaper than the train. The outbound flight was also a farce, no mention of Terminal change at LHR from 5 to 3, so quick turnaround changing terminals was chaotic and stressful for older relatives travelling with us. Overall shocking from British Airways and can guarantee I will never use them again.",Check easy checking flightradar24 finding flight delayed nearly hours notification from airlines other passengers arrived earlier Easy boarding sequence numbers Seat joke hour flight room isle seat seat front frame blocks stretching your legs once passenger front reclines even worse Food mediocre with poor choice drink choices before stewardess arrived seat only choice CocaCola water wine connecting flight from cancelled with contact from airline only found trying book seat return legs with alternative flight provided privately book taxi from Manchester persons this worked cheaper than train outbound flight also farce mention Terminal change from quick turnaround changing terminals chaotic stressful older relatives travelling with Overall shocking from British Airways guarantee will never them again,1
1,"""Amsterdam is the worst airport I have experienced""",We arrived 3 and half hours before our flight the queues to BA was terrible. The airport security lines were not managed well. The gate was closing as we arrived after jogging to the gate (with asthma). It was by far the worst travelling experience i have ever had that i have experienced. All the airlines should put out a warning that you should arrive at least 4 hours before to have an enjoyable experience. Amsterdam is the worst airport I have experienced. ,arrived half hours before flight queues terrible airport security lines were managed well gate closing arrived after jogging gate with asthma worst travelling experience have ever that have experienced airlines should warning that should arrive least hours before have enjoyable experience Amsterdam worst airport have experienced,2
1,"""They actually give me a voucher""","BA says that tickets are flexible and cancellation is free within 24 hrs. That reality is an absolutely miserable alternative. 8 hours after booking, I need to change my flight. I assume I will get a refund like their site says I will - that was apparently a lie. They actually give me a voucher. To request the voucher I have to sign away that I agree to the voucher despite not knowing how much money they will refund me and I might not get it for a week.  I am panicked so I try calling them. Of course, calling them does nothing. The hotline says that they are too busy. This happens again and again. So, I give up, submit the request online despite no guarantee of amount or timing. Luckily it shows up quickly, and I rebook. Then I need to change my booking again. I go to request a voucher again. This time the voucher code doesn't work on the website when I enter it. So here I am needing to rebook with a useless voucher. Finally I call the executive class phone line (which I am not a member of) and then eventually pick up and agree to help me. They do some thing on their back end and tell me that they will send the information to their booking department who will contact me in 72 hours.",says that tickets flexible cancellation free within That reality absolutely miserable alternative hours after booking need change flight assume will refund like their site says will that apparently They actually give voucher request voucher have sign away that agree voucher despite knowing much money they will refund might week panicked calling them course calling them does nothing hotline says that they busy This happens again again give submit request online despite guarantee amount timing Luckily shows quickly rebook Then need change booking again request voucher again This time voucher code doesnt work website when enter here needing rebook with useless voucher Finally call executive class phone line which member then eventually pick agree help They some thing their back tell that they will send information their booking department will contact hours,
1,"""I will never fly with them again""","When I tried to check in, they required a certificate of insurance for Covid travel, but I did not have it, I tried for over 2 hours to get it issued, but my bank (where I had the travel insurance) the department that could issue the certificate was closed, it was 18:30. After a very long time, I got a cover letter which the bank sent to me, but then to be told I had missed the check in by 2 minutes. They would not let me board, and I missed the flight. So I contacted BA, and tried to rebook another departure flight, only to be told that because I missed my departing flight, my return flight had automatically been cancelled and this was BA policy. So then they worked out a new price to book the flights, but now the price was £3500. I originally paid £1500 for the flights. I then did a search on Google and found flights for £1100, flying out with Air Mauritius and returning with BA on the same flight I was originally supposed to return on. Unfortunately BA had made me miss 2 days of my holiday, I searched for over an hour but could not find anywhere on BA site that I needed the Insurance document. When I checked in for the Mauritius airways flight, they did not ask for the insurance document, and I had a lovely flight with no issues. Every time I fly with BA, I have a bad experience and I promise I will never fly with them again. ",When tried check they required certificate insurance Covid travel have tried over hours issued bank where travel insurance department that could issue certificate closed After very long time cover letter which bank sent then told missed check minutes They would board missed flight contacted tried rebook another departure flight only told that because missed departing flight return flight automatically been cancelled this policy then they worked price book flights price originally paid flights then search Google found flights flying with Mauritius returning with same flight originally supposed return Unfortunately made miss days holiday searched over hour could find anywhere site that needed Insurance document When checked Mauritius airways flight they insurance document lovely flight with issues Every time with have experience promise will never with them again,
3,"""one excuse after another with BA these days""",Another dreadful mediocre experience with BA to Malaga. This time boarding was by bus and to a remote stand with no Aircon. Then on flight the the Wi-Fi was erratic and guests couldn’t order food or drinks. Then the card payment system didn’t work so we gave up on ordering. Finally at Malaga we were held up and not allowed to leave the plane as the bags had to come off first in case 'we' caused the plane to go unbalanced? Really? It’s all one excuse after another with BA these days.,Another dreadful mediocre experience with Malaga This time boarding remote stand with Aircon Then flight WiFi erratic guests couldn’t order food drinks Then card payment system didn’t work gave ordering Finally Malaga were held allowed leave plane bags come first case caused plane unbalanced Really It’s excuse after another with these days,3
4,"""no cabin divider in the aircraft""","Very low standards for Club Europe: there was no cabin divider in the aircraft, so no privacy or separate cabin as would be expected, aircraft not properly cleaned in Athens (there was full rubbish bag left in the seat pocket). No in-flight information as the in flight maps have long disappeared from European routes which is a shame. Staff was attentive though and tried their best.",Very standards Club Europe there cabin divider aircraft privacy separate cabin would expected aircraft properly cleaned Athens there full rubbish left seat pocket inflight information flight maps have long disappeared from European routes which shame Staff attentive though tried their best,2
2,"""upgrade had been given away to someone else""","I booked a flight to London and paid, months in advance, to upgrade my seat to an isle side exit row (front of the cabin + more legroom). Upon check-in, my expensive upgrade had been given away to someone else, and I was left to choose a miserable middle seat near the toilet. I spent an entire afternoon calling customer service. If my call went through at all (the automated system simply hangs up when it decides they are too busy) I was placed on indefinite hold, replete with elevator music and an insincere guarantee that my call mattered. I was greeted by someone with a heavy accent, over a very low quality, hard to hear line (I am 32 and not deaf). Sometimes, they would purposely hang up before I said anything. Other times, they would purposely hang up after I stated my plight. IF I managed to persist through all of that, for hours on end, they would hang up purposely after ""needing"" to put me on hold once more to ""speak with their supervisor."" In the end, BA managed to swindle me for hundreds of dollars, and I booked with another airline on principle. ",booked flight London paid months advance upgrade seat isle side exit front cabin more legroom Upon checkin expensive upgrade been given away someone else left choose miserable middle seat near toilet spent entire afternoon calling customer service call went through automated system simply hangs when decides they busy placed indefinite hold replete with elevator music insincere guarantee that call mattered greeted someone with heavy accent over very quality hard hear line deaf Sometimes they would purposely hang before said anything Other times they would purposely hang after stated plight managed persist through that hours they would hang purposely after needing hold once more speak with their supervisor managed swindle hundreds dollars booked with another airline principle,
1,"""have lost all patience with this airline""","I have always chosen to not make a big deal of the poor service, delays, dirty aircraft, over packed lounges, cabin crew etc experienced over the years but have lost all patience with this airline. Having paid almost £1K extra to change our return flight for the family, to get a flight at a specific time, BA cancelled this and placed us on another flight almost 10 hours later. There was no option to get any of the other available flights. The business class lounge at LHR was packed with hardly any space to move. The aircraft was filthy with food wrapping papers on my seat and floor. The seats were uncomfortable. Food for business class passengers included bread rolls passed in a basket. The poor level of hygiene, overcrowding, delays, cancellations makes this the worst airline I have had to endure. ",have always chosen make deal poor service delays dirty aircraft over packed lounges cabin crew experienced over years have lost patience with this airline Having paid almost extra change return flight family flight specific time cancelled this placed another flight almost hours later There option other available flights business class lounge packed with hardly space move aircraft filthy with food wrapping papers seat floor seats were uncomfortable Food business class passengers included bread rolls passed basket poor level hygiene overcrowding delays cancellations makes this worst airline have endure,1
1,"""BA have no intention of resolving this""","Business lounge was closed at Pisa airport which was probably beyond the control of British Airways but as it had been closed since January the least British Airways could have done would have issued their customers who paid for this service vouchers to be used at the airport, I complained about this to BA and as compensation they said they would credit my account with 10000 Avios points which I felt was an adequate compensation and at that point felt BA had handled the situation in a prompt and professional manner. However that was seven weeks ago and no Avios points have been added to my account, I have called their call centre multiple times at one point being put on hold for an hour to put through to the right department, when the phone was answered I was told it was the wrong department and to phone a number which was read out to me which was the same number I was calling! This scenario has replayed itself probably about twenty times now, it is clear that BA have no intention of resolving this and are just making their customer go round in circles before they give up, This airline is absolutely appalling in the way it treats its customers.",Business lounge closed Pisa airport which probably beyond control British Airways been closed since January least British Airways could have done would have issued their customers paid this service vouchers used airport complained about this compensation they said they would credit account with Avios points which felt adequate compensation that point felt handled situation prompt professional manner However that seven weeks Avios points have been added account have called their call centre multiple times point being hold hour through right department when phone answered told wrong department phone number which read which same number calling This scenario replayed itself probably about twenty times clear that have intention resolving this just making their customer round circles before they give This airline absolutely appalling treats customers,1
1,"""been an appalling experience""","I had an Incredible rude check in staff at the British Airways counter in Nice on 16th April 2022. Zero empathy towards me a struggling customer. Second situation happened when we arrived into Nice Terminal 1 on BA0262 13 April where my luggage did not make it on the same flight as me and had to put my details down for delivery. When our luggage arrived at Nice airport the day after and received an email from the AVIA Partner lost and found (British Airways Partner) at 13:14PM informing us that our luggage has now arrived in Nice. After multiple emails back and forth with emphasis on we were strongly expressing that I did not have clothes or shoes to wear and that we only had 3 short days in Monaco, it was vital we received the luggage ASAP, the lady replied “If it is so important why don’t you come and pick it up here at the airport or send your driver to pick it up” despite the fact that a proper delivery address was supplied to them from the very beginning. This has been an appalling experience.",Incredible rude check staff British Airways counter Nice 16th April Zero empathy towards struggling customer Second situation happened when arrived into Nice Terminal BA0262 April where luggage make same flight details down delivery When luggage arrived Nice airport after received email from AVIA Partner lost found British Airways Partner 1314PM informing that luggage arrived Nice After multiple emails back forth with emphasis were strongly expressing that have clothes shoes wear that only short days Monaco vital received luggage ASAP lady replied important don’t come pick here airport send your driver pick despite fact that proper delivery address supplied them from very beginning This been appalling experience,2
1,"""such terrible customer service""","We booked a business class flight with Qantas from Melbourne to Glasgow via London. As Qantas fly to Heathrow, British Airways is their partner airline so we were automatically booked on BA from Heathrow to Glasgow. We booked this flight in October however 2 days before we were due to leave, we received an email from British Airways, advising that our flight from Heathrow to Glasgow has been cancelled. To help us out the email said, they had however booked us on another flight leaving from London City Airport, which is 26 miles from Heathrow Airport and the flight is going to Edinburgh, not Glasgow. Not sure how we were supposed to get from Glasgow, additionally it is in economy, not business class even though we had booked business class originally. We booked this as one connecting flight so British Airways know that we have just travelled 22 hours from Australia. There was no mention in the email about compensation for the change of class or additional travel costs in getting to another airport, nothing about possibly not accepting the flight given it was obviously never going to work for us and no contact details for British Airways. They also sent the email on Good Friday so even when I did eventually find a contact number, their office was closed. I have never experienced such terrible customer service with any airline I have ever flow on and I can guarantee I will never fly British Airways again. ",booked business class flight with Qantas from Melbourne Glasgow London Qantas Heathrow British Airways their partner airline were automatically booked from Heathrow Glasgow booked this flight October however days before were leave received email from British Airways advising that flight from Heathrow Glasgow been cancelled help email said they however booked another flight leaving from London City Airport which miles from Heathrow Airport flight going Edinburgh Glasgow sure were supposed from Glasgow additionally economy business class even though booked business class originally booked this connecting flight British Airways know that have just travelled hours from Australia There mention email about compensation change class additional travel costs getting another airport nothing about possibly accepting flight given obviously never going work contact details British Airways They also sent email Good Friday even when eventually find contact number their office closed have never experienced such terrible customer service with airline have ever flow guarantee will never British Airways again,
4,"""BA is becoming more and more shambolic""","Total chaos for departures immigration at Malaga Airport. Boarding was quick, polite welcome by cabin crew. Beverage cart after take off was prompt, followed by lunch with a choice of 3 entrees. Food can best be described as wholesome, but not meeting quality levels of Air France, Swiss or Lufthansa short haul business class meals. Menu is still missing, and like many other aspects of the experience, BA cut a lot during Covid and have not reintroduced. I wouldn't mind, but on European trips in 2022, BA are charging up to 3 times the fare levels of 2019, and the overall value for money is now very poor. The WiFi did not work from start to finish of the flight. Crew said it had worked on the way out and the Captain had contacted London to get it fixed on the return. BA is becoming more and more shambolic, blaming far too much on Covid and it is time they took some responsibility for their failings.
",Total chaos departures immigration Malaga Airport Boarding quick polite welcome cabin crew Beverage cart after take prompt followed lunch with choice entrees Food best described wholesome meeting quality levels France Swiss Lufthansa short haul business class meals Menu still missing like many other aspects experience during Covid have reintroduced wouldnt mind European trips charging times fare levels overall value money very poor WiFi work from start finish flight Crew said worked Captain contacted London fixed return becoming more more shambolic blaming much Covid time they took some responsibility their failings,2
3,"""disgraceful that a full fare paying passenger should be treated like this""","The short haul flights were the best with the crew on the final leg giving the excellent service that we all hope for. We chose out flights very carefully so that we were booked on flights with the Club World Suits not the Ying Yang arrangement that they still offer. At the last minute the aircraft was changed so we had to put up with the ying yang which really should have been pensioned off ages ago! Most business class offer 4 across but this layout still squeezes in 8 across. As we only take one long haul leisure trip a year in Business Class we always lose out on the ""Points game"" but I take exception to having paid in full on a non refundable basis not to be allowed to reserve my seats. The points gained from this trip alone would have allowed us Bronze status but we were not given this status until after the trip when it is useless to us. This status would have allowed us to book the seats 7 days prior to departure, when they were still available, rather than the 24 hours when they were not available. On the long haul return flight I was unable to book a window seat but on boarding after the doors had closed there was a window seat still vacant. I asked if I could move and was told by the FA she would check. Nothing happened but after take-off a passenger was moved from economy to that seat. Judging by the interaction between them I would bet it was someone on Staff Travel. I think it disgraceful that a full fare paying passenger should be treated like this. Take-off was just after 1930 hrs but we were not offered a drinks service before supper but were told we could order a drink that would be delivered on out tray with the meal. Had we done this our meal would have been cold by the time we ate it. In summary would I ever fly with BA again? No, not if I had half a chance of going with another airline. ",short haul flights were best with crew final giving excellent service that hope chose flights very carefully that were booked flights with Club World Suits Ying Yang arrangement that they still offer last minute aircraft changed with ying yang which really should have been pensioned ages Most business class offer across this layout still squeezes across only take long haul leisure trip year Business Class always lose Points game take exception having paid full refundable basis allowed reserve seats points gained from this trip alone would have allowed Bronze status were given this status until after trip when useless This status would have allowed book seats days prior departure when they were still available rather than hours when they were available long haul return flight unable book window seat boarding after doors closed there window seat still vacant asked could move told would check Nothing happened after takeoff passenger moved from economy that seat Judging interaction between them would someone Staff Travel think disgraceful that full fare paying passenger should treated like this Takeoff just after were offered drinks service before supper were told could order drink that would delivered tray with meal done this meal would have been cold time summary would ever with again half chance going with another airline,3
1,"""most terrible airline I’ve dealt with""","British Airways is the most terrible airline I’ve dealt with. They have caused our family extreme stress and disappointment - we have tried for a week now to speak to someone as we can’t make the changes online. They hang up on you every time you call them - we have been driven to despair by their treatment of their customers. You can’t check in online, the application sucks so much you’re better off trying to code your own app and it’ll probably work better, every time you try to check in you are taken to a page that says we can’t verify your documents yet the app and website say you’re verified and ready to go. You upgrade and pay for upgrade and it says it’s guaranteed and then when you go to check in which you have to go to the airport for because online won’t work, they give you a different seat than you paid for and a lower class and offer nothing in return.  I hope I never have the misfortune of getting stuck flying with British Airways ever again.",British Airways most terrible airline I’ve dealt with They have caused family extreme stress disappointment have tried week speak someone can’t make changes online They hang every time call them have been driven despair their treatment their customers can’t check online application sucks much you’re better trying code your it’ll probably work better every time check taken page that says can’t verify your documents website you’re verified ready upgrade upgrade says it’s guaranteed then when check which have airport because online won’t work they give different seat than paid lower class offer nothing return hope never have misfortune getting stuck flying with British Airways ever again,1
2,"""caused our family extreme stress and disappointment""",British Airways is the most terrible airline I’ve ever dealt with. They have caused our family extreme stress and disappointment - we have tried for a week now to speak to someone as we can’t make the changes online. They hang up on you every time you call them - we have been driven to despair by their treatment of their customers. I have no choice but to cancel our chance of a life time trip we’d booked with our 2 18 year old boys as they were flying with another airline and would have been alone in Japan as BA just cancelled our trip and we cannot rebook online as the trip was booked with avios and companion vouchers.,British Airways most terrible airline I’ve ever dealt with They have caused family extreme stress disappointment have tried week speak someone can’t make changes online They hang every time call them have been driven despair their treatment their customers have choice cancel chance life time trip we’d booked with year boys they were flying with another airline would have been alone Japan just cancelled trip cannot rebook online trip booked with avios companion vouchers,
1,"""still no refunds 3 months on""","BA continue to charge a premium for the most disgusting service, provided by people who shouldn't be in customer service, on tired, dirty and cramped aircraft. Out of 11 flights this year, not one has managed to depart or arrive at their destinations on-time. Including having 3 business class tickets cancelled and an alternative in economy being offered, still no refunds 3 months on and had a flight late and missed connection, so BA cancelled the rest of my ticket, leaving me stranded in the US. ",continue charge premium most disgusting service provided people shouldnt customer service tired dirty cramped aircraft flights this year managed depart arrive their destinations ontime Including having business class tickets cancelled alternative economy being offered still refunds months flight late missed connection cancelled rest ticket leaving stranded,1
2,"""Food and service appalling""","Have not flown economy with BA for years, what a shock! Hard uncomfortable seats, small aged tv screens with limited inflight entertainment. Food and service appalling. 13hr plus flight, no socks, eye shades, ear plug amenity pack. And no antibacterial wipes offered. Wi-Fi advertised but not available on flight. Paid premium money for a budget airline, more akin to Easy Jet, RyanAir or JetStar. My last time travelling with BA after more than 18 years of flying with them. BA you really do need to buck up your service and become the flagship Service you used to be.",Have flown economy with years what shock Hard uncomfortable seats small aged screens with limited inflight entertainment Food service appalling 13hr plus flight socks shades plug amenity pack antibacterial wipes offered WiFi advertised available flight Paid premium money budget airline more akin Easy RyanAir JetStar last time travelling with after more than years flying with them really need buck your service become flagship Service used,1
1,"""Complete and utter chaos""","Complete and utter chaos at Heathrow, yet again. Surely the CEO, Sean Doyle, must now take responsibility and step aside for the consistent and continuous IT problems that cause flights to be cancelled and delayed. The queue for the First Wing check in at 10am today was over 1 hour, and subsequent flight to Malaga 1.5 hrs late leaving the gate. Updated about the delays 3 times, but strangely not one person apologised or said sorry - BA seems to think this is normal practice nowadays. As Emerald OneWorld, I wish there was an alternative because BA has become intolerable, and this is after flying them for 55 years since BEA/BOAC days.",Complete utter chaos Heathrow again Surely Sean Doyle must take responsibility step aside consistent continuous problems that cause flights cancelled delayed queue First Wing check 10am today over hour subsequent flight Malaga late leaving gate Updated about delays times strangely person apologised said sorry seems think this normal practice nowadays Emerald OneWorld wish there alternative because become intolerable this after flying them years since BEABOAC days,2
3,"""packed-like-sardines Club World product""","British Airways are in the process of upgrading all its 777 fleet to the new Club Suite, but BA59 had the 16-yrs-old, packed-like-sardines Club World product. The lounge at CPT was also bursting at the seams and food orders were so behind that many passengers had left by the time their food arrived. On boarding, we were surprised to find that the menu, amenity kit and bottle of water had already been placed in the storage drawer. We suspect this is another cynical time-saving initiative on the part of BA. Frustratingly, the menu turned out to be incorrect and the replacement dishes were probably the worst we have ever encountered in any business class on any airline. The drinks run was cancelled without any warning on the spurious basis of a passenger with a nut allergy. It's hard to avoid suspicions that cabin crew were being economical with the truth. Apart from a rather turbulent ride, the flight was otherwise uneventful and arrival was slightly ahead of schedule. Baggage handling was, however, atrociously slow.",British Airways process upgrading fleet Club Suite BA59 16yrsold packedlikesardines Club World product lounge also bursting seams food orders were behind that many passengers left time their food arrived boarding were surprised find that menu amenity bottle water already been placed storage drawer suspect this another cynical timesaving initiative part Frustratingly menu turned incorrect replacement dishes were probably worst have ever encountered business class airline drinks cancelled without warning spurious basis passenger with allergy hard avoid suspicions that cabin crew were being economical with truth Apart from rather turbulent ride flight otherwise uneventful arrival slightly ahead schedule Baggage handling however atrociously slow,2
4,"""I couldn’t check in online""","We flew to Funchal, Madeira yesterday. Madeira has no COVID restrictions for entry, yet BA asked us to upload our NHS vaccination passes, before we could check in online. I received an OK about an hour later, but my husband did not, so I couldn’t check in online. We arrive at Heathrow 2 hours before departure and stood in a long queue for check in. There were just 3 desks open for a queue of approx 100 travellers. Then several people went on breaks or disappeared so we were down to one desk open, with the queue barely moving. I went to complain to various BA staff, who said the manager had been told and more people were coming. One blonde lady walked around for ages, shepherding travellers into the queue, before sitting down at a desk. Another man later did likewise, making us wonder why they hadn’t simply worked at the desks from the beginning. All in all we stood in that queue for a good hour, before almost running to the security queue, which thankfully moved quickly. Then we hurriedly bought a sandwich, walked to our departure gate and stood on the bus to the plane. The whole experience was extremely stressful; and took the best part of 2 hours. We did not have time to sit down until we did so on the plane. And completely unnecessary! If we had been able to check in online, this would not have happened. My husband’s vaccination pass is fine, but not required for Madeira. I think it is a systems failure as he received an email yesterday morning saying his pass was not in order, as did I, even though I’d previously been told, I could check in online. Also unnecessary as if BA had staffed the desks properly the queue would have moved. A staff member told us BA had laid off lots of staff during lock down and was now begging them to return, but having been treated badly, they didn’t want to. The flight itself was fine, on time. We were given a bag of crisps and a bottle of water, again fine, nothing praise worthy.",flew Funchal Madeira yesterday Madeira COVID restrictions entry asked upload vaccination passes before could check online received about hour later husband couldn’t check online arrive Heathrow hours before departure stood long queue check There were just desks open queue approx travellers Then several people went breaks disappeared were down desk open with queue barely moving went complain various staff said manager been told more people were coming blonde lady walked around ages shepherding travellers into queue before sitting down desk Another later likewise making wonder they hadn’t simply worked desks from beginning stood that queue good hour before almost running security queue which thankfully moved quickly Then hurriedly bought sandwich walked departure gate stood plane whole experience extremely stressful took best part hours have time down until plane completely unnecessary been able check online this would have happened husband’s vaccination pass fine required Madeira think systems failure received email yesterday morning saying pass order even though previously been told could check online Also unnecessary staffed desks properly queue would have moved staff member told laid lots staff during lock down begging them return having been treated badly they didn’t want flight itself fine time were given crisps bottle water again fine nothing praise worthy,3
1,"""flight to Antalya in May 2022 was cancelled""","Absolutely bad experience with "" British Airways."" I have two bookings with them for the past two years. both were cancelled. The first one, I understand, "" Covid-19"" unexpected. But today I got another surprise. My flight to Antalya in May 2022 was cancelled and no explanation is given. I will definitely not book ever again with them.",Absolutely experience with British Airways have bookings with them past years both were cancelled first understand Covid19 unexpected today another surprise flight Antalya cancelled explanation given will definitely book ever again with them,
3,"""really can’t believe they have the audacity to call this First Class""","I really can’t believe they have the audacity to call this First Class. The check in staff at Singapore were abrupt and unhelpful. The official BA lounge in Singapore was closed, so they’re using a cheap generic alternative, which anyone can pay twenty pounds to go in. Suffice to say it was not pleasant. Onboard was like being in the middle of a bad comedy sketch. I can not believe the two stewardess have ever had any first class training. I had to ask for slippers. The first drink took nearly an hour to arrive, despite only having 8 passengers to serve between the two of them. The poor woman sat next to me ordered a wine, which came filled to the brim. I mean it’s First Class, not a student house party. Neither had any knowledge of the wines on the menu. Most of the food was awful. My steak was dry, over cooked and tough, and whichever catering manger signed off on a canapé of soggy mushroom on top of a chunk of polenta should be sacked immediately. I will say, the cheese and port were nice. However the worst thing was the constant galley noise. There was a cart stowage immediately in front of my seat (1K) which they were in and out of all night, and appeared incapable of shutting without slamming. They also seemed to have stored their personal belongings in to the bin immediately above my seat, so we’re in and out of that as well. I will say the seat itself is very well designed, but personally I’m happy in Club and would never do First again.",really can’t believe they have audacity call this First Class check staff Singapore were abrupt unhelpful official lounge Singapore closed they’re using cheap generic alternative which anyone twenty pounds Suffice pleasant Onboard like being middle comedy sketch believe stewardess have ever first class training slippers first drink took nearly hour arrive despite only having passengers serve between them poor woman next ordered wine which came filled brim mean it’s First Class student house party Neither knowledge wines menu Most food awful steak over cooked tough whichever catering manger signed canapé soggy mushroom chunk polenta should sacked immediately will cheese port were nice However worst thing constant galley noise There cart stowage immediately front seat which they were night appeared incapable shutting without slamming They also seemed have stored their personal belongings immediately above seat we’re that well will seat itself very well designed personally happy Club would never First again,5
3,"""overall very medium experience""","London to Dubai. Family of 6 kids where from 10 down to 6 years old, savvy travelers, been on many holidays so we were excited to be on BA for first time. But disappointment became desperation as we had not eaten anything since Dublin that morning at 7am. We had no time to eat at LHR so thought we'll get something usually around 1 hour into the flight. 3.5 hours after take off they served out food. Food was fine but nothing special, no issues with beverage, no attention to kids as you'd expect from many other airlines, even a kids book would be good. Movies are all outdated and already watched. So overall very medium experience.",London Dubai Family kids where from down years savvy travelers been many holidays were excited first time disappointment became desperation eaten anything since Dublin that morning time thought well something usually around hour into flight hours after take they served food Food fine nothing special issues with beverage attention kids youd expect from many other airlines even kids book would good Movies outdated already watched overall very medium experience,3
